cidade,ano,quantidade,data_importacao
Abadia de Goiás,2022,19128,2024/11/29
Abadiânia,2022,17232,2024/11/29
Acreúna,2022,21568,2024/11/29
Adelândia,2022,2297,2024/11/29
Água Fria de Goiás,2022,4954,2024/11/29
Água Limpa,2022,1858,2024/11/29
Águas Lindas de Goiás,2022,225693,2024/11/29
Alexânia,2022,27008,2024/11/29
Aloândia,2022,1973,2024/11/29
Alto Horizonte,2022,6072,2024/11/29
Alto Paraíso de Goiás,2022,10306,2024/11/29
Alvorada do Norte,2022,8446,2024/11/29
Amaralina,2022,3268,2024/11/29
Americano do Brasil,2022,5259,2024/11/29
Amorinópolis,2022,3007,2024/11/29
Anápolis,2022,398869,2024/11/29
Anhanguera,2022,924,2024/11/29
Anicuns,2022,18503,2024/11/29
Aparecida de Goiânia,2022,527796,2024/11/29
Aparecida do Rio Doce,2022,2907,2024/11/29
Aporé,2022,4325,2024/11/29
Araçu,2022,3799,2024/11/29
Aragarças,2022,18390,2024/11/29
Aragoiânia,2022,11890,2024/11/29
Araguapaz,2022,7153,2024/11/29
Arenópolis,2022,2946,2024/11/29
Aruanã,2022,8300,2024/11/29
Aurilândia,2022,3284,2024/11/29
Avelinópolis,2022,2868,2024/11/29
Baliza,2022,3351,2024/11/29
Barro Alto,2022,10371,2024/11/29
Bela Vista de Goiás,2022,34445,2024/11/29
Bom Jardim de Goiás,2022,7826,2024/11/29
Bom Jesus de Goiás,2022,23958,2024/11/29
Bonfinópolis,2022,10296,2024/11/29
Bonópolis,2022,3299,2024/11/29
Brazabrantes,2022,3992,2024/11/29
Britânia,2022,5695,2024/11/29
Buriti Alegre,2022,10495,2024/11/29
Buriti de Goiás,2022,2732,2024/11/29
Buritinópolis,2022,3145,2024/11/29
Cabeceiras,2022,7560,2024/11/29
Cachoeira Alta,2022,11513,2024/11/29
Cachoeira de Goiás,2022,1405,2024/11/29
Cachoeira Dourada,2022,7782,2024/11/29
Caçu,2022,13774,2024/11/29
Caiapônia,2022,16513,2024/11/29
Caldas Novas,2022,98622,2024/11/29
Caldazinha,2022,4507,2024/11/29
Campestre de Goiás,2022,3755,2024/11/29
Campinaçu,2022,3708,2024/11/29
Campinorte,2022,12510,2024/11/29
Campo Alegre de Goiás,2022,7422,2024/11/29
Campo Limpo de Goiás,2022,8081,2024/11/29
Campos Belos,2022,18108,2024/11/29
Campos Verdes,2022,4005,2024/11/29
Carmo do Rio Verde,2022,9710,2024/11/29
Castelândia,2022,2985,2024/11/29
Catalão,2022,114427,2024/11/29
Caturaí,2022,5184,2024/11/29
Cavalcante,2022,9583,2024/11/29
Ceres,2022,22046,2024/11/29
Cezarina,2022,8090,2024/11/29
Chapadão do Céu,2022,12870,2024/11/29
Cidade Ocidental,2022,91767,2024/11/29
Cocalzinho de Goiás,2022,25016,2024/11/29
Colinas do Sul,2022,4030,2024/11/29
Córrego do Ouro,2022,2454,2024/11/29
Corumbá de Goiás,2022,10562,2024/11/29
Corumbaíba,2022,9164,2024/11/29
Cristalina,2022,62337,2024/11/29
Cristianópolis,2022,3504,2024/11/29
Crixás,2022,17065,2024/11/29
Cromínia,2022,3883,2024/11/29
Cumari,2022,2927,2024/11/29
Damianópolis,2022,3770,2024/11/29
Damolândia,2022,2724,2024/11/29
Davinópolis,2022,1902,2024/11/29
Diorama,2022,2062,2024/11/29
Doverlândia,2022,6956,2024/11/29
Edealina,2022,4001,2024/11/29
Edéia,2022,11747,2024/11/29
Estrela do Norte,2022,3205,2024/11/29
Faina,2022,7070,2024/11/29
Fazenda Nova,2022,5877,2024/11/29
Firminópolis,2022,10419,2024/11/29
Flores de Goiás,2022,13744,2024/11/29
Formosa,2022,115901,2024/11/29
Formoso,2022,4660,2024/11/29
Gameleira de Goiás,2022,3456,2024/11/29
Divinópolis de Goiás,2022,4457,2024/11/29
Goianápolis,2022,13967,2024/11/29
Goiandira,2022,4973,2024/11/29
Goianésia,2022,73707,2024/11/29
Goiânia,2022,1437366,2024/11/29
Goianira,2022,71916,2024/11/29
Goiás,2022,24071,2024/11/29
Goiatuba,2022,35664,2024/11/29
Gouvelândia,2022,4390,2024/11/29
Guapó,2022,19545,2024/11/29
Guaraíta,2022,2188,2024/11/29
Guarani de Goiás,2022,4085,2024/11/29
Guarinos,2022,2161,2024/11/29
Heitoraí,2022,3354,2024/11/29
Hidrolândia,2022,27742,2024/11/29
Hidrolina,2022,3545,2024/11/29
Iaciara,2022,10584,2024/11/29
Inaciolândia,2022,5954,2024/11/29
Indiara,2022,17061,2024/11/29
Inhumas,2022,52204,2024/11/29
Ipameri,2022,25548,2024/11/29
Ipiranga de Goiás,2022,2919,2024/11/29
Iporá,2022,35684,2024/11/29
Israelândia,2022,2560,2024/11/29
Itaberaí,2022,44734,2024/11/29
Itaguari,2022,4963,2024/11/29
Itaguaru,2022,4904,2024/11/29
Itajá,2022,4380,2024/11/29
Itapaci,2022,21087,2024/11/29
Itapirapuã,2022,8007,2024/11/29
Itapuranga,2022,26113,2024/11/29
Itarumã,2022,6101,2024/11/29
Itauçu,2022,7736,2024/11/29
Itumbiara,2022,107970,2024/11/29
Ivolândia,2022,2693,2024/11/29
Jandaia,2022,6272,2024/11/29
Jaraguá,2022,45223,2024/11/29
Jataí,2022,105729,2024/11/29
Jaupaci,2022,2924,2024/11/29
Jesúpolis,2022,2123,2024/11/29
Joviânia,2022,7159,2024/11/29
Jussara,2022,19620,2024/11/29
Lagoa Santa,2022,1390,2024/11/29
Leopoldo de Bulhões,2022,8745,2024/11/29
Luziânia,2022,209129,2024/11/29
Mairipotaba,2022,2561,2024/11/29
Mambaí,2022,8124,2024/11/29
Mara Rosa,2022,10700,2024/11/29
Marzagão,2022,2758,2024/11/29
Matrinchã,2022,4042,2024/11/29
Maurilândia,2022,10304,2024/11/29
Mimoso de Goiás,2022,2614,2024/11/29
Minaçu,2022,27075,2024/11/29
Mineiros,2022,70081,2024/11/29
Moiporá,2022,1685,2024/11/29
Monte Alegre de Goiás,2022,6692,2024/11/29
Montes Claros de Goiás,2022,8756,2024/11/29
Montividiu,2022,12521,2024/11/29
Montividiu do Norte,2022,3779,2024/11/29
Morrinhos,2022,51351,2024/11/29
Morro Agudo de Goiás,2022,2456,2024/11/29
Mossâmedes,2022,4654,2024/11/29
Mozarlândia,2022,14750,2024/11/29
Mundo Novo,2022,6189,2024/11/29
Mutunópolis,2022,3564,2024/11/29
Nazário,2022,8189,2024/11/29
Nerópolis,2022,31932,2024/11/29
Niquelândia,2022,34964,2024/11/29
Nova América,2022,2337,2024/11/29
Nova Aurora,2022,2101,2024/11/29
Nova Crixás,2022,12815,2024/11/29
Nova Glória,2022,8310,2024/11/29
Nova Iguaçu de Goiás,2022,3010,2024/11/29
Nova Roma,2022,3076,2024/11/29
Nova Veneza,2022,9481,2024/11/29
Novo Brasil,2022,3527,2024/11/29
Novo Gama,2022,103804,2024/11/29
Novo Planalto,2022,3716,2024/11/29
Orizona,2022,16399,2024/11/29
Ouro Verde de Goiás,2022,4057,2024/11/29
Ouvidor,2022,7200,2024/11/29
Padre Bernardo,2022,34967,2024/11/29
Palestina de Goiás,2022,3132,2024/11/29
Palmeiras de Goiás,2022,31858,2024/11/29
Palmelo,2022,2259,2024/11/29
Palminópolis,2022,3851,2024/11/29
Panamá,2022,2455,2024/11/29
Paranaiguara,2022,7607,2024/11/29
Paraúna,2022,10659,2024/11/29
Perolândia,2022,2964,2024/11/29
Petrolina de Goiás,2022,9573,2024/11/29
Pilar de Goiás,2022,2328,2024/11/29
Piracanjuba,2022,24883,2024/11/29
Piranhas,2022,11712,2024/11/29
Pirenópolis,2022,26690,2024/11/29
Pires do Rio,2022,32373,2024/11/29
Planaltina,2022,105031,2024/11/29
Pontalina,2022,18309,2024/11/29
Porangatu,2022,44317,2024/11/29
Porteirão,2022,4070,2024/11/29
Portelândia,2022,3280,2024/11/29
Posse,2022,34914,2024/11/29
Professor Jamil,2022,3649,2024/11/29
Quirinópolis,2022,48447,2024/11/29
Rialma,2022,12165,2024/11/29
Rianápolis,2022,3980,2024/11/29
Rio Quente,2022,3864,2024/11/29
Rio Verde,2022,225696,2024/11/29
Rubiataba,2022,19788,2024/11/29
Sanclerlândia,2022,7918,2024/11/29
Santa Bárbara de Goiás,2022,6149,2024/11/29
Santa Cruz de Goiás,2022,3002,2024/11/29
Santa Fé de Goiás,2022,4951,2024/11/29
Santa Helena de Goiás,2022,38492,2024/11/29
Santa Isabel,2022,3538,2024/11/29
Santa Rita do Araguaia,2022,5924,2024/11/29
Santa Rita do Novo Destino,2022,2689,2024/11/29
Santa Rosa de Goiás,2022,2820,2024/11/29
Santa Tereza de Goiás,2022,3293,2024/11/29
Santa Terezinha de Goiás,2022,10645,2024/11/29
Santo Antônio da Barra,2022,4267,2024/11/29
Santo Antônio de Goiás,2022,7386,2024/11/29
Santo Antônio do Descoberto,2022,72127,2024/11/29
São Domingos,2022,9711,2024/11/29
São Francisco de Goiás,2022,6378,2024/11/29
São João d'Aliança,2022,14041,2024/11/29
São João da Paraúna,2022,1774,2024/11/29
São Luís de Montes Belos,2022,33852,2024/11/29
São Luiz do Norte,2022,4837,2024/11/29
São Miguel do Araguaia,2022,21900,2024/11/29
São Miguel do Passa Quatro,2022,4464,2024/11/29
São Patrício,2022,2143,2024/11/29
São Simão,2022,17020,2024/11/29
Senador Canedo,2022,155635,2024/11/29
Serranópolis,2022,8027,2024/11/29
Silvânia,2022,22245,2024/11/29
Simolândia,2022,5742,2024/11/29
Sítio d'Abadia,2022,2927,2024/11/29
Taquaral de Goiás,2022,4026,2024/11/29
Teresina de Goiás,2022,2701,2024/11/29
Terezópolis de Goiás,2022,7944,2024/11/29
Três Ranchos,2022,2921,2024/11/29
Trindade,2022,142431,2024/11/29
Trombas,2022,3120,2024/11/29
Turvânia,2022,4480,2024/11/29
Turvelândia,2022,4985,2024/11/29
Uirapuru,2022,2798,2024/11/29
Uruaçu,2022,42546,2024/11/29
Uruana,2022,13729,2024/11/29
Urutaí,2022,3553,2024/11/29
Valparaíso de Goiás,2022,198861,2024/11/29
Varjão,2022,3716,2024/11/29
Vianópolis,2022,14956,2024/11/29
Vicentinópolis,2022,8768,2024/11/29
Vila Boa,2022,4215,2024/11/29
Vila Propício,2022,5815,2024/11/29
